contrast,delta_macro_f1,delta_balanced_accuracy
M+R - M,0.02675167700264175,0.026956521739130546
M+A - M,0.0022987268166763664,0.002173913043478304
M+R+A - M,0.03797663379050664,0.03782608695652179
