feature_set,dimensions,macro_f1,balanced_accuracy
R,8,0.2068309546579946,0.2243478260869565
A,6,0.0811647635610712,0.10652173913043476
R+A,14,0.21999282937226206,0.23130434782608697
M,135,0.29778797162313025,0.2982608695652173
M+R,143,0.324539648625772,0.32521739130434785
M+A,141,0.3000866984398066,0.3004347826086956
M+R+A,149,0.3357646054136369,0.3360869565217391
