metric,observed_delta,bootstrap_mean_delta,ci_2.5,ci_97.5,fraction_positive,nonpositive_replicates
Macro-F1,0.03797663379050664,0.037909362332450756,0.020242327657486844,0.0558524949406823,1.0,0
Balanced accuracy,0.03782608695652179,0.03796833843495429,0.019999949815580877,0.05623888607104625,1.0,0
