metric,observed_delta,null_mean_delta,null_sd,null_q025,null_q500,null_q975,null_exceedances,empirical_p
Macro-F1,0.03797699999999998,0.04289600582532102,0.007140790856354073,0.029088395027877904,0.04309448440661773,0.056837838702067156,1525,0.7626186906546727
Balanced accuracy,0.037826000000000026,0.042258347826086964,0.007144983819480156,0.02826073913043481,0.042608565217391314,0.05652160869565209,1459,0.7296351824087957
