F2_integral,F2_radial_centroid,F2_radial_spread,F2_radial_concentration,F2_onset_radius,F2_termination_radius,F2_peak_radius,F2_peak_magnitude,alpha2_peak_cos2,alpha2_peak_sin2,alpha2_weighted_mean_cos2,alpha2_weighted_mean_sin2,alpha2_axial_coherence,alpha2_orientation_drift_deg
8.072639900626815,12.976371496772035,5.95773793432325,0.4910356417371932,3.5,26.5,9.5,0.5806139328608875,-0.996807010859254,0.07984850093670472,-0.998170532816946,0.06046145396807964,0.9329355253125237,28.909918353060313
11.62683778851016,13.357493502236304,6.958641716858804,0.43949231392103627,3.5,27.5,6.5,0.6827863933659599,-0.999877068734227,0.015679522296610914,-0.9965041075495873,0.08354378275371874,0.8163926373156749,1.9679246153573615
11.698937150048712,13.043298563319707,6.851459057203718,0.45638582151290635,3.5,27.5,6.5,0.7386785788482882,-0.9992983462984547,0.03745417313429296,-0.9994591577874011,0.032884523942104636,0.9572511743521203,3.6864967631832855
9.06571892011301,12.868592943885554,7.094060459264084,0.3219976843939129,3.5,27.5,3.5,0.6626528980464568,-0.9959885445828057,0.0894808306835856,-0.9991658881178862,0.04083537708403961,0.7068041506435343,83.55291615744923
11.406637382348638,11.376840358941655,5.764273145715441,0.613251794853694,3.5,27.5,8.5,0.8245008353555769,-0.9869059743364035,0.16129661440685636,-0.9804640086788918,0.1966985706234742,0.8582843577294491,4.095494941871806
12.31928018286829,13.263201593799735,6.710838335291721,0.5617942993718816,3.5,27.5,9.5,0.8048053571650782,-0.9960311643701713,0.08900516616130119,-0.9937826656255244,0.11133738591428817,0.9112531745931509,14.429243910739956
11.69576126855265,12.515647328472173,6.877972332221412,0.5098505558948168,3.5,27.5,6.5,0.7713485860773674,-0.9994766652866713,-0.032348037767924616,-0.9993974950013036,0.03470802479426485,0.9446593773989516,0.8943747636955237
10.423489686548468,12.743635419380414,6.1874601396891515,0.4496711398108889,3.5,27.5,6.5,0.6700412826090189,-0.9974065649405486,0.07197321872401727,-0.9944758007471648,0.10496609799494967,0.9330000366796257,68.07597400434359
7.176631621894001,12.6621313079368,6.622781860578411,0.34933737084584254,3.5,27.5,4.5,0.4719191704456465,-0.8989760588978445,0.4379977688624671,-0.9716964763100051,0.23623284684124604,0.7522365108915681,12.599597198919085
9.857372147730256,12.441714812605316,5.758269517988996,0.5351459286849566,3.5,27.5,8.5,0.6431052909772506,-0.992388933723467,-0.12314302344509898,-0.9923040107895453,-0.12382548272056866,0.8941877289624327,36.51760900195811
4.766440694170106,20.309024339776382,5.409697560312374,0.40713425147853255,11.5,27.5,26.5,0.5672756369995862,-0.9921705525872688,0.12489033020483864,-0.8322343338745031,0.5544240376466933,0.654891915364099,1.734380092892465
3.3795885030960213,20.0300665897654,5.166095376931116,0.4565212201120142,13.5,27.5,14.5,0.4769311323594618,-0.643304003925303,-0.7656108401359492,-0.9997992225686387,0.020037828004692525,0.616607092108893,7.613998400102901
3.6256064355913833,19.475923520386736,4.4582211232186,0.6902351352284298,11.5,27.5,18.5,0.3978649365884065,-0.636000192600713,0.7716888978156002,-0.7417750463420819,0.6706487759059896,0.9066090176196249,3.6141408558304775
5.062327652323097,18.782180733579086,6.271078660735924,0.38011390517271987,10.5,27.5,27.5,0.5303768203865082,0.992130330964263,-0.1252094500456816,0.8820451951599378,0.4711648052383234,0.09401145395200301,9.279122450722554
3.5405024688820284,20.295818880179596,4.923022462065667,0.5845671782268127,10.5,27.5,21.5,0.39641673626795354,-0.8317311185608504,0.5551786617094688,-0.950011826370323,0.312213916660554,0.2529002989192015,12.066934420323909
4.03379188210972,18.11246445452366,6.157155188465535,0.5290797556550788,9.5,27.5,22.5,0.43835533307279234,-0.9953820477496652,0.09599259876512996,-0.6044841915385651,-0.7966171365091058,0.26389573930908855,3.6886169761479835
2.332529273883319,23.0589323320467,5.6723164191263304,0.7308762535593419,22.5,27.5,27.5,0.45535568284444594,0.9914151815981231,0.13075143477897522,-0.7709905790745755,0.6368465490039581,0.3849626858473172,81.69832370777691
3.0378118097806346,20.264359586179435,4.346876374448457,0.6070118555666684,16.5,27.5,17.5,0.4677845125456911,0.9441484798162925,-0.3295203302689895,0.9876044994333917,-0.15696290230153095,0.4467818348573099,80.808218862736
2.301483955723109,20.148012504860834,5.294162229859279,0.49746193367553004,15.5,27.5,22.5,0.41094376225597534,0.9378404829429532,0.3470666053559867,-0.268334070399994,-0.9633259192311661,0.21789738730495534,78.5958995270821
1.7992221347620148,22.22381474733814,4.838454619882277,0.828997144573016,18.5,27.5,23.5,0.2986220610758327,0.826638474771069,0.5627333578420252,-0.056652228738260854,0.998393972827855,0.3170689674091005,31.588236627846285
8.63547698265766,14.291168996148693,6.82960345761842,0.47268440567741804,3.5,27.5,10.5,0.5773488341863106,-0.9994333979189931,0.033658329193464814,-0.9830532059133329,0.18332046897037502,0.6235314585738172,87.78571236814972
12.201072412565168,13.862192770994954,6.059709663426011,0.3656923296547607,3.5,27.5,6.5,0.7131573678342401,-0.9999065955698189,0.013667484624999629,-0.9996232661741209,0.027446779836307222,0.9089850886512276,31.707600461127562
10.888825076456417,13.430946800145676,7.179590481464684,0.4341282945600888,3.5,27.5,6.5,0.7435213753412494,-0.8948517303285567,0.4463635073883035,-0.9819455216948942,0.1891639300272173,0.9059040704306506,12.934965309520777
5.4904925293763736,12.938679742273521,7.16620704156588,0.3508894096320121,3.5,25.5,4.5,0.5333617201152618,-0.9943739734698875,-0.10592639371614347,-0.9942557602212462,0.10703029135189651,0.8699830714664043,23.269909481837587
11.655815224537061,13.310705473219382,6.848541242622897,0.33496630226388563,3.5,27.5,4.5,0.7696595250963214,-0.9939009884778256,0.11027613115629883,-0.9996275997908364,0.027288490914881443,0.9068513478872562,13.274132033148405
10.83155988262837,14.218578139777797,5.992686354503513,0.49320408259121146,3.5,27.5,12.5,0.6658436447260839,-0.995857899778438,0.09092328331554309,-0.991824944509155,0.12760595381647183,0.6661551685779021,54.65050187642919
13.002024635544762,13.381509509526948,7.209284666816233,0.4990480841193027,3.5,27.5,7.5,0.800834479169954,-0.9990400317622851,0.04380656270939773,-0.99885271941653,0.04788783680855555,0.9152167649814351,0.8424528379432417
8.145693785117968,12.90521480221196,6.88633164514801,0.37506788779476,3.5,27.5,4.5,0.5659964082250875,-0.9984583180787896,-0.0555066397764692,-0.9997818032345351,0.020888894683568197,0.85165406936934,10.584826705955393
6.209600070787666,13.318115130195848,8.012796489521854,0.37886783645856464,3.5,27.5,3.5,0.5557025674549266,-0.7298354205178923,0.6836228923591364,-0.9718058681257715,0.23578243080500225,0.7513557131906643,22.914719040040325
11.946960106752279,14.519910302539765,7.04606423871879,0.4394737408317748,3.5,27.5,9.5,0.7940934149631123,-0.9985199396853035,0.054386855497058864,-0.9994824258711685,-0.03216955664419498,0.8697483264053655,60.603974131887824
7.81187351059691,17.614882544887642,7.791365315162348,0.48998992112935524,3.5,27.5,24.5,0.6312584874680136,-0.995543761058067,0.09430068832388529,-0.9542390287859347,0.29904493966906714,0.791769221662433,31.993749696143162
13.44658900342085,14.584964150516985,7.2604705274892565,0.4197999851106115,3.5,27.5,8.5,0.7188241573566648,-0.9968691298222074,0.07906919758992743,-0.995112768887706,0.09874501099621803,0.9590228907131305,3.0940154082724973
9.477318298118105,14.905338352501142,7.715402887417383,0.27058208798855654,3.5,27.5,3.5,0.6553975533202109,-0.9325051318232658,-0.3611567237686068,-0.9971233301894293,0.07579620301797599,0.9187660762093326,18.431688030050495
5.744603071216437,14.094103006719616,6.887873038200029,0.4147489901134927,3.5,27.5,8.5,0.5165388224949417,-0.9994476427674897,0.033232655122760565,-0.9601092138089502,0.2796252806152541,0.6951241023144074,15.58498679712325
6.5955745303596665,16.507871735432804,7.784533942608417,0.3707288658635732,3.5,27.5,25.5,0.492284322852944,-0.9940644448396612,-0.10879282837400704,-0.9059681308069747,-0.4233458939946345,0.7468645246432462,4.491594135396355
9.304656112871589,16.62395822185141,7.843313261257699,0.3133504647213254,3.5,27.5,27.5,0.6560534501823205,-0.9980397599265453,0.06258304567344039,-0.9716978140109513,0.23622734440859866,0.86044645845723,0.9907547224509727
7.519889921875126,17.662560031918947,7.266002680587289,0.3772768801109056,3.5,27.5,26.5,0.6239407020417956,-0.9964850102766314,-0.08377126174280693,-0.9636006116493899,-0.26734595794386257,0.6600020596090546,85.60412213473784
6.98339830573533,14.887440847527547,7.174787482771753,0.4014298845730245,3.5,27.5,15.5,0.3997701659752833,-0.9727729851218394,0.231760047068397,-0.9978240285846632,0.06593336013789414,0.8479251437373153,16.193127349888897
7.432902418860451,14.546675180705071,7.8728862700577,0.38191768171479673,3.5,27.5,5.5,0.4718799702020058,-0.9966766373032027,-0.08145968729365542,-0.9993569970427744,0.03585515948435104,0.931588820213055,13.349006358093519
8.408192580357875,17.34840906628448,7.082902425104803,0.5018467160072358,3.5,27.5,23.5,0.5973658590693612,-0.9023398614065578,0.43102525972011685,-0.9949637162529674,0.10023573883642771,0.3190399739877263,66.89003715733983
