estimand,point_estimate,bootstrap_mean,bootstrap_median,ci95_lower,ci95_upper,n_bootstrap,seed,bootstrap_distribution_sha256,source_oof_sha256,source_secondary_json_sha256
macro_f1_M,0.29591237413184013,0.2952787496388494,0.2953579983168234,0.27428327520111556,0.31658206530896266,10000,20260821,b9c732430735a0bf2d16cee62be234135ae76d167a2e847256d99b93c2ab00cb,12ed9c7d15632d137f06a3dbd575257f5fb4afc7c0d53d5d92572a678f7807af,70f11e02d28853e561d1162b18d5e26175f845787b5bc36ae8f6d35774774c13
macro_f1_M_plus_G,0.32122518118437415,0.32055940585562387,0.3206047345045726,0.29883616089912957,0.3420087783523548,10000,20260821,b9c732430735a0bf2d16cee62be234135ae76d167a2e847256d99b93c2ab00cb,12ed9c7d15632d137f06a3dbd575257f5fb4afc7c0d53d5d92572a678f7807af,70f11e02d28853e561d1162b18d5e26175f845787b5bc36ae8f6d35774774c13
delta_macro_f1_G_given_M,0.025312807052534025,0.02528065621677448,0.02528497830494278,0.009067072475883254,0.04188824501258178,10000,20260821,b9c732430735a0bf2d16cee62be234135ae76d167a2e847256d99b93c2ab00cb,12ed9c7d15632d137f06a3dbd575257f5fb4afc7c0d53d5d92572a678f7807af,70f11e02d28853e561d1162b18d5e26175f845787b5bc36ae8f6d35774774c13
balanced_accuracy_M,0.2965217391304348,0.29641213170288666,0.2963818338355575,0.27493620992534035,0.31782608695652176,10000,20260821,b9c732430735a0bf2d16cee62be234135ae76d167a2e847256d99b93c2ab00cb,12ed9c7d15632d137f06a3dbd575257f5fb4afc7c0d53d5d92572a678f7807af,70f11e02d28853e561d1162b18d5e26175f845787b5bc36ae8f6d35774774c13
balanced_accuracy_M_plus_G,0.3208695652173913,0.32072858378655306,0.32084845926551286,0.29888438735177864,0.34239799632137125,10000,20260821,b9c732430735a0bf2d16cee62be234135ae76d167a2e847256d99b93c2ab00cb,12ed9c7d15632d137f06a3dbd575257f5fb4afc7c0d53d5d92572a678f7807af,70f11e02d28853e561d1162b18d5e26175f845787b5bc36ae8f6d35774774c13
delta_balanced_accuracy_G_given_M,0.024347826086956514,0.024316452083666472,0.024347826086956514,0.007817477399914004,0.040913482652613076,10000,20260821,b9c732430735a0bf2d16cee62be234135ae76d167a2e847256d99b93c2ab00cb,12ed9c7d15632d137f06a3dbd575257f5fb4afc7c0d53d5d92572a678f7807af,70f11e02d28853e561d1162b18d5e26175f845787b5bc36ae8f6d35774774c13
