term,coefficient
intercept,0.18815381991068283
log1p_reference_R2,-0.5084659730553482
log1p_shell_mass_fraction,-1.5841147563430422
rotation_deg_-60,0.10638117460353484
rotation_deg_-45,0.10883419706386065
rotation_deg_-30,0.10533725799693465
rotation_deg_-15,0.08890166809122373
rotation_deg_15,0.08824428340366222
rotation_deg_30,0.10638108948024701
rotation_deg_45,0.10883640235643745
rotation_deg_60,0.10533726208736738
rotation_deg_90,-2.6135832170512114e-17
