R2_stratum,n_total,n_E_rel_defined,median_E_abs,p95_E_abs,median_E_rel,p95_E_rel,median_E_sym,p95_E_sym,median_shell_mass_fraction,proportion_E_rel_gt_0p15_among_defined
"[0,0.05)",5830,5830,0.0010531124255347838,0.02458492155419716,0.32276275558237977,3.6235780078819317,0.30445121610191894,1.4140504823131663,0.014227902397727997,0.6430531732418525
"[0.05,0.10)",3920,3920,0.005964487841339169,0.038949054216501446,0.0769094825471349,0.5199489783539126,0.07746561878688585,0.5218213861268044,0.02755319497089772,0.3221938775510204
"[0.10,0.20)",9220,9220,0.0053594055308916755,0.04869531326436639,0.03659992581617026,0.3450107777680565,0.03648949687168257,0.34098716592310363,0.030290027306438882,0.1658351409978308
"[0.20,0.40)",16340,16340,0.005251059069424552,0.05129124433318904,0.018025333955039788,0.18050772189821745,0.017964196428192757,0.1858865113356981,0.028806758009493748,0.07074663402692778
"[0.40,0.60)",14810,14810,0.004162671278138047,0.04177288574232077,0.008207466566962614,0.08674676003560176,0.008224561961049755,0.08676827717793834,0.030439227468792057,0.013639432815665091
"[0.60,0.80)",7110,7110,0.002864383011547289,0.025550789148746048,0.004311222666380273,0.03720415952399291,0.004310144827144044,0.03755604771421234,0.039872277478096005,0.0033755274261603376
"[0.80,1.00]",270,270,0.002176643080555485,0.035317910992435225,0.0025900195073469278,0.041851574241980105,0.002590086846371448,0.04099346802800862,0.01807979355015711,0.0
