bootstrap_rep,n_rows,macro_f1_M,macro_f1_M_plus_G,delta_macro_f1_G_given_M,balanced_accuracy_M,balanced_accuracy_M_plus_G,delta_balanced_accuracy_G_given_M
0,2301,0.31818554152230044,0.35212774644314454,0.0339422049208441,0.31722341799397336,0.350262591476539,0.03303917348256563
1,2299,0.2899769251843531,0.31182690768831217,0.021849982503959087,0.29275801493192793,0.3119411506368028,0.019183135704874843
2,2298,0.28968061636850423,0.30522915836505066,0.015548541996546428,0.28983141082519964,0.3046583850931677,0.014826974267968085
3,2299,0.2926793464724027,0.32076997221129644,0.02809062573889376,0.29624066754501543,0.32281949934123855,0.026578831796223112
4,2299,0.28755671751668793,0.3095378329668381,0.02198111545015019,0.2919060166886253,0.31234079929732106,0.020434782608695745
5,2301,0.3069473284281653,0.3246783344106419,0.017731005982476622,0.3089668532070598,0.32331037451571243,0.01434352130865263
6,2300,0.2978233620687708,0.3309699025256819,0.03314654045691112,0.3004347826086957,0.3308695652173913,0.030434782608695587
7,2301,0.2987842411528831,0.33512856645199274,0.03634432529910964,0.30332328885062415,0.337188979767542,0.03386569091691782
8,2300,0.30238188568604135,0.3205536798022117,0.01817179411617037,0.3021739130434783,0.3186956521739131,0.01652173913043481
9,2300,0.295609034914017,0.31209459992570965,0.016485565011692627,0.2973913043478261,0.311304347826087,0.01391304347826089
10,2301,0.30076889290757797,0.3274978597264495,0.026728966818871547,0.3020275505811451,0.32676280671545416,0.024735256134309047
11,2301,0.27753728049740073,0.2944866540912597,0.016949373593858952,0.2763753766681016,0.29372793801119246,0.017352561343090878
12,2302,0.2881179109858265,0.30900436820882093,0.020886457222994426,0.28881500426257456,0.30789428815004266,0.0190792838874681
13,2298,0.28462949848277175,0.3118912131131542,0.02726171463038246,0.2850754214729371,0.3120674356699201,0.02699201419698305
14,2301,0.30388222297971496,0.31902620842244644,0.015143985442731489,0.30462763667671117,0.3189496340938442,0.014321997417133026
15,2301,0.2955531640815012,0.32284894761983696,0.027295783538335783,0.29684459750322856,0.3242014636246234,0.02735686612139482
16,2300,0.3297705910934976,0.3619415226232377,0.0321709315297401,0.3304347826086957,0.3630434782608695,0.032608695652173836
17,2300,0.2896814444315324,0.313405193198827,0.023723748767294606,0.291304347826087,0.31347826086956515,0.022173913043478155
18,2300,0.30124208484123527,0.32315317671245636,0.02191109187122109,0.3030434782608696,0.3252173913043478,0.02217391304347821
19,2300,0.28927404979592236,0.3250675309326601,0.03579348113673775,0.29173913043478267,0.3273913043478261,0.03565217391304343
20,2300,0.29321278718237065,0.32073339104959114,0.027520603867220494,0.2956521739130435,0.3230434782608696,0.027391304347826106
21,2300,0.27471249017137916,0.31278401942126,0.03807152924988083,0.2782608695652174,0.31521739130434784,0.036956521739130443
22,2298,0.27268400278783794,0.2886138037221372,0.015929800934299243,0.2729192546583851,0.2890239574090506,0.0161047027506655
23,2299,0.2835489257474118,0.31165618089401975,0.028107255146607946,0.2823407992973211,0.3106236275801493,0.028282828282828187
24,2299,0.2953067796320889,0.31857568247547324,0.023268902843384343,0.29715854194115066,0.32024154589371984,0.02308300395256918
25,2301,0.30952013343492313,0.32165142976909494,0.012131296334171815,0.3120232458028412,0.3211278519156263,0.00910460611278513
26,2299,0.3115569389039804,0.32861702826829847,0.017060089364318076,0.31104962670180053,0.32631532718489237,0.015265700483091837
27,2299,0.2862867703746938,0.3184211746049526,0.03213440423025882,0.2905884936319719,0.3197540623627581,0.029165568730786184
28,2299,0.2922219595975365,0.3062396001315886,0.014017640534052078,0.2932191480017567,0.307167325428195,0.013948177426438335
29,2301,0.31707234715910815,0.32949914316077705,0.012426796001668905,0.3154799827808868,0.3280800688764529,0.012600086095566121
30,2301,0.28809857762368113,0.3198730240677894,0.03177444644410826,0.2915712440809299,0.32157124408092985,0.02999999999999997
31,2302,0.2884922181778351,0.3057898596133432,0.017297641435508104,0.2897357203751066,0.30711849957374254,0.017382779198635956
32,2300,0.30671915576029973,0.3267216142227506,0.020002458462450856,0.30869565217391304,0.3260869565217392,0.017391304347826153
33,2299,0.3002304353519502,0.33511634892379705,0.03488591357184684,0.30231005709266584,0.3340755379885815,0.03176548089591563
34,2300,0.292499799961538,0.31775041780986923,0.025250617848331214,0.2943478260869565,0.3182608695652173,0.023913043478260843
35,2299,0.31707407752893507,0.33639306509010797,0.019318987561172896,0.3206280193236715,0.33761967501097934,0.016991655687307816
36,2299,0.28784815203641695,0.3234508370990849,0.03560268506266795,0.2897145366710584,0.32585419411506367,0.03613965744400527
37,2298,0.2896099517426516,0.31289087695908047,0.023280925216428883,0.29080745341614905,0.3144188110026619,0.023611357586512838
38,2302,0.30494805576690426,0.3344100077374104,0.02946195197050616,0.30492753623188407,0.3331798806479114,0.02825234441602731
39,2300,0.29817786430267895,0.32644069331406317,0.028262829011384216,0.2995652173913043,0.3260869565217392,0.026521739130434874
40,2302,0.29275200044069716,0.31839985902069595,0.025647858579998795,0.29271952259164535,0.3178772378516624,0.025157715260017033
41,2300,0.2961773235455468,0.3114232415410174,0.015245917995470593,0.29913043478260876,0.312608695652174,0.013478260869565217
42,2299,0.29666702576638415,0.32031814305163675,0.0236511172852526,0.29671936758893286,0.32109793588054464,0.02437856829161178
43,2298,0.2980075772826304,0.3252130580765672,0.02720548079393681,0.30036379769299026,0.32739130434782615,0.027027506654835887
44,2300,0.3069831795245063,0.3256067175869821,0.018623538062475797,0.31000000000000005,0.32652173913043475,0.0165217391304347
45,2301,0.2935024544778765,0.3099599313280328,0.016457476850156305,0.29634524321997413,0.3111020232458029,0.014756780025828753
46,2301,0.2788531494835696,0.31382636773806505,0.03497321825449545,0.28114507102884206,0.31591907016788634,0.034773999139044276
