estimand,point_estimate,bootstrap_mean,bootstrap_median,ci95_lower,ci95_upper,n_bootstrap,seed,bootstrap_distribution_sha256,source_oof_sha256,source_primary_json_sha256
macro_f1_L,0.7380200305882273,0.7367349990766017,0.7369333730990019,0.6987097638993662,0.7726148192177739,10000,20260821,1bf19ce0559bd46fcf4da7e529e6e107ffc57b094cfcc27475b176b289c09077,62e3a5608441428f0c0c8ba1b9ade86b5dacbfa37dbe7a6368a58c317c95be49,06d252e9816d9c72340bc858a8f947356f2377e49f6b18fa8037dbb4fae192b9
macro_f1_L_plus_G,0.7389666827704796,0.7376758973268296,0.7377211021508618,0.7003633426283313,0.7735775438896961,10000,20260821,1bf19ce0559bd46fcf4da7e529e6e107ffc57b094cfcc27475b176b289c09077,62e3a5608441428f0c0c8ba1b9ade86b5dacbfa37dbe7a6368a58c317c95be49,06d252e9816d9c72340bc858a8f947356f2377e49f6b18fa8037dbb4fae192b9
delta_macro_f1_G_given_L,0.0009466521822523166,0.0009408982502278727,0.0010233380950758764,-0.008670368662190038,0.010065348214126092,10000,20260821,1bf19ce0559bd46fcf4da7e529e6e107ffc57b094cfcc27475b176b289c09077,62e3a5608441428f0c0c8ba1b9ade86b5dacbfa37dbe7a6368a58c317c95be49,06d252e9816d9c72340bc858a8f947356f2377e49f6b18fa8037dbb4fae192b9
balanced_accuracy_L,0.7417391304347827,0.7416890056395986,0.7417391304347827,0.7056521739130435,0.775917202717714,10000,20260821,1bf19ce0559bd46fcf4da7e529e6e107ffc57b094cfcc27475b176b289c09077,62e3a5608441428f0c0c8ba1b9ade86b5dacbfa37dbe7a6368a58c317c95be49,06d252e9816d9c72340bc858a8f947356f2377e49f6b18fa8037dbb4fae192b9
balanced_accuracy_L_plus_G,0.7421739130434781,0.7420785356210645,0.7421739130434782,0.706334960070985,0.7765217391304348,10000,20260821,1bf19ce0559bd46fcf4da7e529e6e107ffc57b094cfcc27475b176b289c09077,62e3a5608441428f0c0c8ba1b9ade86b5dacbfa37dbe7a6368a58c317c95be49,06d252e9816d9c72340bc858a8f947356f2377e49f6b18fa8037dbb4fae192b9
delta_balanced_accuracy_G_given_L,0.0004347826086954498,0.0003895299814658656,0.00043478260869556085,-0.009126043039086484,0.009130434782608887,10000,20260821,1bf19ce0559bd46fcf4da7e529e6e107ffc57b094cfcc27475b176b289c09077,62e3a5608441428f0c0c8ba1b9ade86b5dacbfa37dbe7a6368a58c317c95be49,06d252e9816d9c72340bc858a8f947356f2377e49f6b18fa8037dbb4fae192b9
