bootstrap_rep,n_rows,macro_f1_L,macro_f1_L_plus_G,delta_macro_f1_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G,delta_balanced_accuracy_G_given_L
0,2301,0.7497414824010795,0.7488231910691556,-0.0009182913319238928,0.7544511407662504,0.7522772277227723,-0.0021739130434781373
1,2299,0.7486980232562771,0.7530338593607461,0.004335836104468971,0.7537856829161178,0.7572639437856828,0.003478260869565042
2,2298,0.7452302812635369,0.7444253949353381,-0.0008048863281987506,0.7481455190771961,0.7472759538598048,-0.0008695652173912327
3,2299,0.7272248103542275,0.722264062041206,-0.004960748313021512,0.7342555994729907,0.728599033816425,-0.005656565656565693
4,2299,0.7648258127735686,0.7682799873042451,0.0034541745306764238,0.7690557751427316,0.7716644707949056,0.002608695652174031
5,2301,0.7367048702728702,0.7408388167833095,0.004133946510439301,0.7448730090400345,0.7487774429616875,0.003904433921652961
6,2300,0.7700008195591069,0.7661647244414492,-0.0038360951176577007,0.7756521739130436,0.7721739130434782,-0.003478260869565486
7,2301,0.7273368582540473,0.730489893902189,0.003153035648141733,0.7327421437795953,0.7353508394317693,0.00260869565217392
8,2300,0.7239142552277741,0.7259961217612896,0.0020818665335154973,0.7304347826086955,0.7308695652173912,0.00043478260869567187
9,2300,0.7438336265756855,0.7453786917752899,0.0015450651996044007,0.7469565217391306,0.7469565217391306,0.0
10,2301,0.7258422798781348,0.7301298593348191,0.004287579456684343,0.730994403788205,0.7340421868273784,0.003047783039173413
11,2301,0.7299271484658266,0.7404884341298134,0.01056128566398673,0.7340895393887215,0.744520017219113,0.010430477830391527
12,2302,0.7487672508860842,0.7487329555568781,-3.4295329206068814e-05,0.7542710997442457,0.7533674339300938,-0.0009036658141519105
13,2298,0.7179259418100077,0.7292914839476924,0.011365542137684703,0.7233540372670808,0.7342236024844719,0.01086956521739113
14,2301,0.7268679231267731,0.7222808226581087,-0.004587100468664396,0.730107619457598,0.7253250107619457,-0.0047826086956522795
15,2301,0.7282119565342228,0.7258372179872302,-0.0023747385469925497,0.7310331467929402,0.7279853637537665,-0.003047783039173635
16,2300,0.7235686745071809,0.7300632002555943,0.006494525748413471,0.731304347826087,0.7360869565217392,0.0047826086956521685
17,2300,0.7148429495332629,0.7174312276017034,0.0025882780684405304,0.7195652173913044,0.721304347826087,0.0017391304347825765
18,2300,0.7324626437287717,0.7333953445012563,0.0009327007724846403,0.7373913043478261,0.7382608695652174,0.0008695652173913437
19,2300,0.7240701275662419,0.7252906820059001,0.0012205544396581836,0.7269565217391305,0.7282608695652175,0.0013043478260870156
20,2300,0.7460241208384272,0.7506623919912796,0.0046382711528524245,0.7491304347826085,0.7534782608695653,0.004347826086956719
21,2300,0.7347045615941307,0.7395841700346061,0.004879608440475414,0.7413043478260868,0.7447826086956522,0.003478260869565375
22,2298,0.7373802242933315,0.739057043793366,0.0016768195000345099,0.7433274179236914,0.7450665483584737,0.0017391304347823544
23,2299,0.7450569291644492,0.7446449846412363,-0.00041194452321291486,0.7494905577514273,0.7490425999121652,-0.0004479578392621031
24,2299,0.7019092871887045,0.6994721179625152,-0.0024371692261893063,0.7068555116381203,0.7033772507685552,-0.003478260869565153
25,2301,0.7179541551601281,0.7195064093794699,0.0015522542193417976,0.7210202324580284,0.7223245802841154,0.0013043478260870156
26,2299,0.7339628820041754,0.7356254157113701,0.0016625337071947133,0.7411769872639438,0.7407290294246818,-0.00044795783926199206
27,2299,0.7688006416867985,0.7655205419040739,-0.003280099782724588,0.7729117259552042,0.7694466403162055,-0.0034650856389987217
28,2299,0.7565221992726149,0.7581005922574472,0.0015783929848323108,0.7611725955204216,0.7611725955204216,0.0
29,2301,0.7294018784009179,0.7286352197789029,-0.0007666586220149707,0.7409771846749892,0.7379423159707276,-0.0030348687042616174
30,2301,0.7931645873305391,0.7901696221649874,-0.002994965165551644,0.7953250107619457,0.7922729229444684,-0.0030520878174773447
31,2302,0.7427029301513833,0.7413081656980475,-0.0013947644533358616,0.7472378516624041,0.74462063086104,-0.002617220801364062
32,2300,0.7545606060847989,0.7544490307039148,-0.00011157538088413244,0.758695652173913,0.7582608695652174,-0.00043478260869556085
33,2299,0.7447118048340029,0.7356851648064044,-0.009026640027598454,0.7502942468159859,0.7407290294246818,-0.009565217391304115
34,2300,0.7267202469596868,0.7284656918371953,0.0017454448775084952,0.7321739130434782,0.7330434782608696,0.0008695652173913437
35,2299,0.7589503657822879,0.7570608431338317,-0.00188952264845621,0.7620992534036012,0.7599165568730788,-0.0021826965305223878
36,2299,0.7407894564805998,0.7417829253293133,0.0009934688487135412,0.7446859903381643,0.7459991216512956,0.001313131313131266
37,2298,0.7190325689965974,0.7207709456311941,0.00173837663459675,0.7245874001774624,0.7263354037267081,0.001748003549245758
38,2302,0.7549019087633588,0.7574613199925908,0.002559411229231978,0.7563171355498722,0.7593520886615516,0.0030349531116793393
39,2300,0.7389131523798964,0.7408957575505355,0.0019826051706390846,0.7434782608695651,0.7447826086956523,0.0013043478260871266
40,2302,0.7317111955374583,0.7334253874194966,0.0017141918820382518,0.7402301790281329,0.7410741687979541,0.0008439897698211407
41,2300,0.7239418629114706,0.7290741984144075,0.005132335502936902,0.7282608695652172,0.7330434782608696,0.0047826086956523906
