R2_stratum,n,median_relative_magnitude_error,p95_relative_magnitude_error,median_axial_error_deg,p95_axial_error_deg
"[0.05,0.10)",3920,0.0769094825471349,0.5199489783539126,0.9589402960966815,14.501634220949015
"[0.10,0.20)",9220,0.03659992581617026,0.3450107777680565,0.6457011052776345,6.499996357268923
"[0.20,0.40)",16340,0.018025333955039788,0.18050772189821745,0.3654041680458917,3.4408840983617064
"[0.40,0.60)",14810,0.008207466566962614,0.08674676003560176,0.19722970259465455,1.9690945073389916
"[0.60,0.80)",7110,0.004311222666380273,0.03720415952399291,0.12069323763692807,1.326026368161038
"[0.80,inf)",260,0.00282181187648547,0.04254951482762705,0.13197430314892244,2.0008608986418013
