row_index,relative_path,category,garment_id,rotation_deg,shell_index,reference_R2,rotated_R2,shell_mass_fraction,E_abs,E_rel,E_sym,R2_stratum
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,3,0.20548131571553915,0.20548131571553918,0.012809372412312536,2.7755575615628914e-17,1.3507590954913253e-16,1.3507590954913253e-16,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,4,0.35262917308647496,0.35262917308647496,0.01097946206769646,0.0,0.0,0.0,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,5,0.4922783279201662,0.49227832792016624,0.011270816508040361,5.551115123125783e-17,1.1276375189171478e-16,1.1276375189171478e-16,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,6,0.545466929353268,0.545466929353268,0.012149991310481605,0.0,0.0,0.0,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,7,0.5067487875244469,0.5067487875244469,0.012139768347662519,0.0,0.0,0.0,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,8,0.46900142249982313,0.4690014224998231,0.012027315756652593,5.551115123125783e-17,1.1836030461352973e-16,1.1836030461352973e-16,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,9,0.48248195474441985,0.48248195474441985,0.013632320919248818,0.0,0.0,0.0,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,10,0.413966764231043,0.413966764231043,0.01272247722835032,0.0,0.0,0.0,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,11,0.41860759256396596,0.418607592563966,0.013473864995553012,5.551115123125783e-17,1.3260904058441168e-16,1.3260904058441168e-16,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,12,0.35443534617998185,0.35443534617998185,0.0131569531481614,0.0,0.0,0.0,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,13,0.3890675540054867,0.3890675540054867,0.015221991637616413,0.0,0.0,0.0,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,14,0.10214683154126378,0.10214683154126378,0.023931955959476177,0.0,0.0,0.0,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,15,0.07450705442440048,0.07450705442440043,0.030091291057974423,4.163336342344337e-17,5.587841815124659e-16,5.587841815124661e-16,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,16,0.0739436489508728,0.07394364895087281,0.02991238920864045,1.3877787807814457e-17,1.876805919739595e-16,1.876805919739595e-16,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,17,0.15542640597542928,0.15542640597542928,0.02812337071530071,0.0,0.0,0.0,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,18,0.21484711956929106,0.21484711956929103,0.041132090902585385,2.7755575615628914e-17,1.2918756216639605e-16,1.2918756216639605e-16,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,19,0.07443027764601468,0.07443027764601469,0.04127521238205257,1.3877787807814457e-17,1.8645352733757448e-16,1.8645352733757448e-16,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,20,0.2957449617591653,0.29574496175916537,0.04664737934348133,5.551115123125783e-17,1.8769939782258185e-16,1.8769939782258185e-16,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,21,0.46963194031200134,0.46963194031200123,0.06177225283431644,1.1102230246251565e-16,2.3640279319323484e-16,2.3640279319323484e-16,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,22,0.5463850089372566,0.5463850089372566,0.06725176090534558,0.0,0.0,0.0,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,23,0.47160528449882316,0.47160528449882316,0.0508796859505822,0.0,0.0,0.0,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,24,0.31749873516110394,0.317498735161104,0.04151545200830105,5.551115123125783e-17,1.7483896810829995e-16,1.7483896810829995e-16,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,25,0.24410041252640183,0.24410041252640186,0.039634426849589545,2.7755575615628914e-17,1.137055661986105e-16,1.1370556619861048e-16,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,26,0.1827698000729547,0.1827698000729548,0.033699996933111154,8.326672684688674e-17,4.555825241021758e-16,4.555825241021757e-16,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-90.0,27,0.09972723653689057,0.09972723653689058,0.025506292233615148,1.3877787807814457e-17,1.3915744875454218e-16,1.3915744875454216e-16,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,3,0.20548131571553915,0.22277443547424727,0.012809372412312536,0.01729311975870812,0.08415908618498474,0.08076071231110905,"[0.20,0.40)"
