metric,observed_delta,bootstrap_mean_delta,bootstrap_sd,ci_2.5,ci_50,ci_97.5,fraction_positive,fraction_nonpositive,nonpositive_replicates,n_bootstrap
delta_macro_f1,0.0008936544139540592,0.0009614279287759723,0.0016220777393235874,-0.0021522919002572778,0.000905136959178876,0.004342172712693792,0.7282,0.2718,1359,5000
delta_balanced_accuracy,0.0008695652173913437,0.000911999719912058,0.0016495220609553617,-0.002237907020515739,0.000847705505633789,0.004271699918439088,0.711,0.289,1445,5000
