bootstrap,hog_macro_f1,hog_ra14_macro_f1,delta_macro_f1,hog_balanced_accuracy,hog_ra14_balanced_accuracy,delta_balanced_accuracy
1,0.6339678476287867,0.6352028328708199,0.0012349852420332486,0.6514528980958062,0.6530885088618517,0.0016356107660454589
2,0.6289120526797664,0.6315879583412287,0.0026759056614623633,0.6392903111381374,0.6408793380532513,0.001589026915113867
3,0.6257981443084313,0.626514274314778,0.000716130006346738,0.6347676185241392,0.6355215867781076,0.0007539682539683401
4,0.6425675448147786,0.6439894730860719,0.0014219282712932824,0.654041592784843,0.6558186804314959,0.001777087646652964
5,0.6430718873297504,0.6446888145705921,0.0016169272408417257,0.6586138854854346,0.6602182231767287,0.0016043376912940888
6,0.6494347236830541,0.6520020023617267,0.0025672786786725688,0.6610438515107091,0.6634833805806729,0.0024395290699638084
7,0.6457371788064471,0.6446383237665291,-0.001098855039918023,0.6547307777921239,0.6540074069600573,-0.0007233708320665277
8,0.6353749803949292,0.6399863065200634,0.004611326125134152,0.6394175007478743,0.6442363413275844,0.00481884057971016
9,0.6376789920309472,0.6380454791728798,0.0003664871419325477,0.6548008015408453,0.6549388277658281,0.00013802622498282346
10,0.6239968029212765,0.6235759302443163,-0.00042087267696011565,0.6419593928419853,0.6416250713663595,-0.0003343214756258428
11,0.6319207479656066,0.6326049444969696,0.0006841965313629794,0.637372100125862,0.6380427941661211,0.0006706940402591011
12,0.6318171435400949,0.6321145078354986,0.00029736429540372367,0.6494275876848886,0.6499037781610791,0.0004761904761905189
13,0.640819945918973,0.6385837163951632,-0.002236229523809752,0.6408645943428553,0.6389683746205485,-0.0018962197223068022
14,0.6361427733536823,0.6366853317793251,0.0005425584256427696,0.648411074851721,0.6489229663418735,0.0005118914901525162
15,0.6328495428573832,0.6342233854776465,0.0013738426202632992,0.6465334901663901,0.6476345630065934,0.001101072840203332
16,0.6214873516856645,0.6199637609788521,-0.0015235907068124055,0.6392177151494632,0.6376185248660624,-0.001599190283400831
17,0.6515184696086296,0.6523939763826432,0.0008755067740136013,0.6671451670895135,0.6675441883581,0.0003990212685864858
18,0.6171420825802449,0.6222677360129368,0.00512565343269189,0.6298250664562874,0.6347664053106697,0.0049413388543823045
19,0.6099301696690739,0.6102175121207428,0.00028734245166894823,0.6251505489271988,0.6257100371125452,0.0005594881853464573
20,0.6342234102831915,0.6372191763368807,0.0029957660536892305,0.6395328671425883,0.6432673391922776,0.0037344720496893524
21,0.6238309964582424,0.6256127229204866,0.0017817264622442819,0.6371523650105895,0.6396723769679417,0.002520011957352186
22,0.6541141072256557,0.6534609569520595,-0.000653150273596137,0.6617551693063202,0.6617216038379721,-3.3565468348095706e-05
23,0.6524733150444512,0.6509214925640507,-0.0015518224804004221,0.6619000939444972,0.6605479678097624,-0.001352126134734788
24,0.6554240921520929,0.6564492361306928,0.001025143978599985,0.6643729404458718,0.6649231149090897,0.0005501744632179228
25,0.6210610989889254,0.6205504479802846,-0.0005106510086407834,0.6403405065227117,0.6395912919691493,-0.0007492145535623607
26,0.6360760420500273,0.6375347059819724,0.0014586639319450478,0.6430261318100919,0.6443667115202368,0.0013405797101448957
27,0.6459282178185608,0.645219688870717,-0.0007085289478437895,0.6564774061222561,0.6560636780486814,-0.0004137280735747595
28,0.6325692281721814,0.6373077129159354,0.004738484743753935,0.6431779349376369,0.6483374770153375,0.005159542077700641
29,0.6739962382801777,0.672440254120534,-0.001555984159643753,0.6827406792080705,0.6821195611956481,-0.0006211180124223725
30,0.6408756229958494,0.6432851619993255,0.002409539003476069,0.6435254893231236,0.6456111452131273,0.002085655890003757
31,0.6446795965961257,0.6458481342575118,0.0011685376613860265,0.6555441840767928,0.6562481178242049,0.0007039337474120666
32,0.6530984746921485,0.6540494428355869,0.0009509681434383133,0.6602453159230651,0.6616320813315697,0.0013867654085045755
33,0.6264603551101956,0.6286425611383598,0.002182206028164213,0.648316251525351,0.6501647880414066,0.0018485365160556544
34,0.6321387373929042,0.6320515208160143,-8.721657688981477e-05,0.6374664707598962,0.6378680015962097,0.00040153083631355724
35,0.6370437524823648,0.6374823606636474,0.00043860818128260703,0.6461372191118715,0.6462136644057079,7.644529383643572e-05
36,0.6316884040902762,0.6326469339476868,0.0009585298574106282,0.6455994665840237,0.6466340689000906,0.0010346023160668905
37,0.6515291644131087,0.6498088268927656,-0.0017203375203430626,0.6591677142385161,0.6571730784395323,-0.001994635798983735
38,0.6358625620610525,0.6376894843100843,0.0018269222490318038,0.650194221805475,0.6517826163606214,0.0015883945551463663
39,0.6242813981947877,0.6258573684469765,0.0015759702521888075,0.6352649632771223,0.6370633822494545,0.0017984189723321276
40,0.6429802349880138,0.6433795276052655,0.00039929261725168974,0.6555333008492221,0.6563754176695997,0.000842116820377603
41,0.6140757095167736,0.6137666684699683,-0.00030904104680529176,0.6263169382478845,0.6262396654212511,-7.727282663338997e-05
42,0.6162710338566266,0.6182131713425356,0.0019421374859089902,0.6351873101472645,0.6370318424265793,0.0018445322793148033
43,0.6700924665684255,0.6717311834607671,0.0016387168923416295,0.6810039203455232,0.6825289532835996,0.001525032938076487
44,0.621772273292286,0.6206093501503003,-0.0011629231419857389,0.6307832988267772,0.6294014198362025,-0.0013818789905747364
45,0.6333587002575435,0.633916206279734,0.0005575060221905126,0.6478212638530312,0.6480829828104023,0.0002617189573711487
46,0.6425323641503248,0.645039714230481,0.0025073500801562343,0.655959814732196,0.6592500148702222,0.003290200138026167
47,0.668534302446702,0.6688601958397388,0.0003258933930367913,0.6713724478351853,0.6718880554160103,0.0005156075808249172
48,0.6488433409034137,0.6519100966942799,0.003066755790866238,0.6673146903923232,0.6701174431950759,0.0028027528027527726
49,0.6341948120277136,0.6363360121210364,0.002141200093322859,0.6469198952151621,0.6490774840031857,0.0021575887880235234
50,0.6291496656523133,0.6315176796409855,0.0023680139886721463,0.6439396497528033,0.6466242598287176,0.002684610075914362
51,0.6444258535754357,0.6449605955885268,0.0005347420130911162,0.6553798030693979,0.6553649025110192,-1.490055837871651e-05
52,0.6511194510220565,0.6491872629375388,-0.001932188084517672,0.6707458205684749,0.6689007815495229,-0.0018450390189519439
53,0.6557526388260443,0.6589755649842111,0.0032229261581667723,0.6713025567986934,0.6751171661024331,0.003814609303739669
54,0.633530087951613,0.635582278917288,0.0020521909656749937,0.6470487845487846,0.6492672906803342,0.0022185061315496135
55,0.6776080836397689,0.6793535906694202,0.001745507029651372,0.6831687348523612,0.684393186728987,0.0012244518766257872
56,0.5955907885481376,0.5961316329489239,0.0005408444007862778,0.6258511849324715,0.625951519380632,0.00010033444816048842
57,0.6541848376436651,0.6565243635849759,0.002339525941310816,0.6685167179183878,0.670473239657518,0.0019565217391301903
58,0.6429692805186594,0.6437950626622552,0.0008257821435957435,0.6483780195984242,0.6490826410639152,0.0007046214654909955
59,0.615927069299379,0.6156164277897068,-0.00031064150967219373,0.6257717409719697,0.6251816788601685,-0.0005900621118012372
60,0.6139816390698563,0.6149262997690026,0.000944660699146338,0.6471137839616102,0.6483476105215236,0.0012338265599133313
61,0.6459221184935523,0.6464359773289573,0.0005138588354050011,0.6572867743935519,0.6575165566885516,0.00022978229499970304
62,0.6321409408305643,0.6313807960714357,-0.000760144759128556,0.6382145439912064,0.6373845044655146,-0.000830039525691717
63,0.6324465304100457,0.6316482999822653,-0.0007982304277803776,0.6457475616171269,0.6444449391188521,-0.0013026224982747303
64,0.6375248503379123,0.6412091510195682,0.0036843006816559276,0.6509233245240056,0.6540565198311139,0.0031331953071083163
65,0.62023692969248,0.620633757437524,0.00039682774504401497,0.6385931158213767,0.6387208383404035,0.0001277225190268183
66,0.6354016641191932,0.6369156028532154,0.0015139387340221688,0.6515687627635852,0.6531519863033305,0.001583223539745271
67,0.6410032051486302,0.6432061153241363,0.002202910175506112,0.6609942937848837,0.6630957430602461,0.002101449275362377
68,0.6394703785764009,0.6373087442657861,-0.0021616343106147795,0.6595226064480721,0.6570555445244886,-0.002467061923583591
69,0.6324545397670892,0.6371689037850061,0.004714364017916917,0.6394391108481432,0.6446533651928322,0.005214254344689029
70,0.6702978678224301,0.670561423340504,0.000263555518073888,0.6745001229155108,0.6744811443095756,-1.8978605935138226e-05
71,0.6212221341085175,0.6228330391804039,0.001610905071886437,0.6312163574482416,0.633105591402693,0.001889233954451397
72,0.6664964660622473,0.667789534031813,0.001293067969565631,0.6710286601370777,0.6717187912619914,0.0006901311249136732
73,0.634542370978079,0.6357462731451171,0.00120390216703814,0.6515399939445966,0.653231737835829,0.001691743891232389
74,0.6451540687849224,0.6469937301460676,0.0018396613611452173,0.6596626172818703,0.6619514395706926,0.002288822288822323
75,0.6209532442271818,0.6209808627160939,2.7618488912084516e-05,0.6286203456196897,0.628906802555763,0.00028645693607332046
76,0.6301811003195589,0.6347939977603732,0.004612897440814279,0.6385731516166299,0.6428980658328485,0.004324914216218612
77,0.6515381945503017,0.6521530265236712,0.000614831973369534,0.6640699001301428,0.664773363333606,0.0007034632034632615
78,0.6206284676461779,0.6232445100138052,0.002616042367627358,0.6331326970746343,0.6363556094279815,0.0032229123533472626
79,0.6345553062970659,0.635103250437405,0.0005479441403390961,0.6497782639226489,0.6514023694278286,0.0016241055051796627
