condition,fold,test_rows,m_macro_f1,m_balanced_accuracy,aug_macro_f1,aug_balanced_accuracy,delta_macro_f1,delta_balanced_accuracy
CLEAN_TARGET_TEXT_IDENTITY_EXCLUSION,0,439,0.26752642866249776,0.27768878718535467,0.31944368238486925,0.3321510297482838,0.05191725372237149,0.05446224256292914
CLEAN_TARGET_TEXT_IDENTITY_EXCLUSION,1,460,0.3120702601191157,0.31086956521739134,0.35311397177481046,0.35000000000000003,0.04104371165569476,0.03913043478260869
CLEAN_TARGET_TEXT_IDENTITY_EXCLUSION,2,461,0.26119057063681206,0.2711180124223602,0.28250346740911764,0.2953416149068323,0.02131289677230558,0.024223602484472084
CLEAN_TARGET_TEXT_IDENTITY_EXCLUSION,3,460,0.24206396681387965,0.2434782608695652,0.2757350264221481,0.28043478260869564,0.03367105960826844,0.036956521739130443
CLEAN_TARGET_TEXT_IDENTITY_EXCLUSION,4,460,0.29091358154114927,0.29782608695652174,0.31669443066457975,0.3217391304347826,0.025780849123430483,0.023913043478260843
