condition,m_macro_f1,m_balanced_accuracy,aug_macro_f1,aug_balanced_accuracy,delta_macro_f1,delta_balanced_accuracy
RAW,0.29591237413184013,0.2965217391304348,0.32122518118437415,0.3208695652173913,0.025312807052534025,0.024347826086956514
CLEAN,0.271429342423399,0.2730434782608696,0.3142559792110737,0.31565217391304345,0.04282663678767468,0.042608695652173845
