permutation,delta_macro_f1,delta_balanced_accuracy,self_mapped_rows
0,0.04029868552640703,0.039130434782608636,20
1,0.05367103350862196,0.052608695652173854,20
2,0.04413553263480413,0.043913043478260805,20
3,0.03423649161041309,0.03347826086956518,20
4,0.027057870933090866,0.025217391304347858,20
5,0.0631815153893267,0.05999999999999994,20
6,0.056771708368999696,0.05608695652173912,20
7,0.039568838606001855,0.03695652173913039,20
8,0.05227938260233311,0.050434782608695605,20
9,0.043349933394015105,0.042608695652173845,20
10,0.03788549248567136,0.037391304347826004,20
11,0.031087740311623813,0.030869565217391204,20
12,0.040307985858558104,0.03782608695652179,20
13,0.03346248887244935,0.03217391304347822,20
14,0.05244884910232234,0.051739130434782565,20
15,0.042718568906456145,0.03999999999999998,20
16,0.04587041107291956,0.04434782608695648,20
17,0.030965987852012933,0.029130434782608683,20
18,0.04546867885607947,0.043913043478260805,20
19,0.03860730523202904,0.03826086956521735,20
20,0.051692428542376545,0.050434782608695605,20
21,0.05166424663737462,0.05130434782608695,20
22,0.03523966115031185,0.035217391304347756,20
23,0.049971688240675105,0.04869565217391297,20
24,0.04798440196439091,0.04608695652173905,20
25,0.051060180586932014,0.05043478260869566,20
26,0.04334502238842408,0.042608695652173845,20
27,0.0569004985447335,0.056956521739130406,20
28,0.05098046450341798,0.052608695652173854,20
29,0.0442920648811701,0.04217391304347823,20
30,0.043515586380707294,0.04434782608695642,20
31,0.035972876969734946,0.036086956521739155,20
32,0.05029933609281617,0.04739130434782607,20
33,0.042801371145017975,0.04347826086956513,20
34,0.04339133215390839,0.04347826086956513,20
35,0.052714519952090866,0.051304347826086893,20
36,0.05517498440132684,0.053043478260869525,20
37,0.039774135540135036,0.03826086956521729,20
38,0.052803774595340525,0.05217391304347818,20
39,0.04786541880019696,0.0469565217391304,20
40,0.046249064693067,0.04608695652173911,20
41,0.047055806331606775,0.04695652173913034,20
42,0.03405503164525531,0.03434782608695647,20
43,0.04297480407741722,0.0426086956521739,20
44,0.04863700537983229,0.04869565217391303,20
45,0.05805129200101017,0.05608695652173912,20
46,0.03894445335668201,0.03913043478260869,20
47,0.03342567551716624,0.03130434782608693,20
48,0.0526350648441708,0.050434782608695605,20
49,0.04110859637914105,0.039565217391304364,20
50,0.04495817963690718,0.043913043478260805,20
51,0.03967540610797521,0.03826086956521735,20
52,0.05302563050645026,0.05304347826086958,20
53,0.04044505176578789,0.04086956521739127,20
54,0.051232165640295146,0.05043478260869566,20
55,0.03917541706577321,0.037391304347826004,20
56,0.04555049112645454,0.04521739130434782,20
57,0.04198984299976294,0.04130434782608694,20
58,0.04182189136010578,0.04086956521739127,20
59,0.06624937286614013,0.0634782608695652,20
60,0.040028754346751294,0.03956521739130431,20
61,0.044054358636184454,0.041739130434782556,20
62,0.06549247795025653,0.06391304347826082,20
63,0.04654330945856133,0.04478260869565215,20
64,0.04449150772856497,0.042608695652173845,20
65,0.04555336663482762,0.04434782608695653,20
66,0.06671560477688249,0.06565217391304351,20
67,0.04671676054007917,0.04608695652173911,20
68,0.05661420615542989,0.05608695652173906,20
69,0.04788906399982246,0.04869565217391297,20
70,0.04056095840049384,0.04043478260869565,20
71,0.05818234349481877,0.05782608695652158,20
72,0.05664755538746369,0.05565217391304339,20
73,0.0611686393173137,0.060869565217391286,20
74,0.04052415725942504,0.03913043478260869,20
75,0.04540316988254922,0.04608695652173905,20
76,0.04618397974737026,0.04608695652173905,20
77,0.035228742339034946,0.03260869565217389,20
78,0.05840140586841419,0.05739130434782608,20
79,0.05308500712399683,0.05043478260869566,20
80,0.04692481735503279,0.04652173913043478,20
81,0.0387492133589038,0.03739130434782606,20
82,0.03381806854296021,0.03260869565217389,20
83,0.04944332276808189,0.04782608695652174,20
84,0.0404337240974042,0.039565217391304364,20
85,0.03850868394008261,0.03782608695652173,20
86,0.05278699825785749,0.051304347826086893,20
87,0.057489161158156665,0.05478260869565216,20
88,0.05114062176377121,0.04869565217391303,20
89,0.05799544750478525,0.057826086956521694,20
90,0.053437312731234365,0.05086956521739128,20
91,0.04950433165520507,0.047826086956521685,20
92,0.042660613667294955,0.04043478260869571,20
93,0.05173254097539065,0.050434782608695605,20
94,0.047289302266144195,0.04478260869565215,20
95,0.04168125378183629,0.04086956521739121,20
96,0.03613397609045488,0.035217391304347756,20
97,0.05451749179352444,0.05391304347826087,20
98,0.03689805613823949,0.03652173913043466,20
99,0.050519521122947886,0.049130434782608645,20
100,0.04104051955475019,0.03999999999999998,20
101,0.04978965859181872,0.04956521739130432,20
102,0.043166563389905654,0.04304347826086952,20
103,0.04000542196097345,0.039130434782608636,20
104,0.044623838929675974,0.04217391304347823,20
105,0.04834934295674448,0.04652173913043478,20
106,0.04686347087701864,0.04608695652173911,20
107,0.03841696255135668,0.03782608695652173,20
108,0.049522430812058926,0.047826086956521685,20
109,0.05205774468921037,0.04956521739130437,20
110,0.05224874778958011,0.053043478260869525,20
111,0.0523139706401185,0.05086956521739122,20
112,0.04980060879406972,0.049130434782608645,20
113,0.052905116628807036,0.051739130434782565,20
114,0.05314734885266048,0.050434782608695605,20
115,0.06848464427048895,0.0678260869565217,20
116,0.04902343004421311,0.051304347826086893,20
117,0.05589719912842722,0.05565217391304339,20
118,0.0440982853526824,0.04347826086956519,20
119,0.05198217419209078,0.04956521739130432,20
120,0.03507016838196747,0.03347826086956518,20
121,0.03962238305526422,0.038695652173913075,20
122,0.04828012108792673,0.0469565217391304,20
123,0.04128522192049899,0.03956521739130431,20
124,0.04379913514597339,0.04217391304347823,20
125,0.04289461665950017,0.04130434782608694,20
126,0.05331267216015051,0.05217391304347818,20
127,0.04231090284019029,0.040434782608695596,20
128,0.04199013447000405,0.04130434782608694,20
129,0.0398575425373231,0.037391304347826004,20
130,0.046356417584581366,0.04478260869565209,20
131,0.04702717320831712,0.04565217391304349,20
132,0.051322222475952084,0.04869565217391303,20
133,0.0544369285046849,0.05304347826086947,20
134,0.03768089848322803,0.039130434782608636,20
135,0.05296090838567091,0.05217391304347818,20
136,0.04214336897336246,0.04130434782608694,20
137,0.04599926857986908,0.04478260869565209,20
138,0.05670522612801904,0.05521739130434783,20
139,0.041936695293691706,0.040869565217391324,20
140,0.043091303657223246,0.041739130434782556,20
141,0.0478029214015574,0.04695652173913034,20
142,0.05207340616079531,0.05086956521739128,20
143,0.0646726620759901,0.06217391304347819,20
144,0.05647163345795453,0.05652173913043479,20
145,0.04847850985342278,0.04521739130434782,20
146,0.038331919916539337,0.036956521739130443,20
147,0.052957152812756814,0.05086956521739128,20
148,0.052596756863831584,0.05086956521739133,20
149,0.06004537156935352,0.058260869565217366,20
150,0.05105815125333757,0.04999999999999999,20
151,0.037707508582104365,0.036521739130434716,20
