replicate,delta_macro_f1,delta_balanced_accuracy
0,0.026935587655008475,0.029369138959931818
1,0.03741464439019593,0.03889319366719274
2,0.016575903827835525,0.01574879227053133
3,0.04075669161812662,0.038607817303469516
4,0.027877100559156043,0.02755819060166892
5,0.02883623780652278,0.027627371881069673
6,0.030230776129557935,0.02990338164251205
7,0.034446562351960475,0.03464261066745539
8,0.02062186771038854,0.020360122968818617
9,0.040715123479866056,0.03891567417611319
10,0.03183069830394464,0.02948177426438292
11,0.04991298586600007,0.0490294246815986
12,0.034468710272829994,0.03367642709257618
13,0.032768553426188174,0.031397022577146716
14,0.011726077473713292,0.00957902001380262
15,0.037053854033789024,0.03838903677412986
16,0.029361987364641406,0.027513935340022333
17,0.03698460397216047,0.037233462476682355
18,0.03061520888625391,0.030579710144927497
19,0.04163076284313477,0.04044100062180134
20,0.04029678956505667,0.038067632850241506
21,0.03568938722476206,0.03722002635046118
22,0.0462354473995879,0.047369345630215165
23,0.029294334736790106,0.028663778076597535
24,0.03134729294465022,0.03004391743522178
25,0.030181542263317707,0.031873739505651644
26,0.0492154345042331,0.04791097978518827
27,0.03282351486167151,0.030737552016071257
28,0.038582830225730114,0.039446640316205595
29,0.03123202507071693,0.03152031827223639
30,0.02477736286045118,0.024168460324293317
31,0.042855810271136996,0.04396135265700474
32,0.04222628684168156,0.04473429951690827
33,0.036977681039552124,0.033816425120772986
34,0.05042321533504984,0.05028985507246375
35,0.03646173034557093,0.03782704357392258
36,0.03807343471974434,0.03946190271201033
37,0.027459214781543728,0.026443852903480225
38,0.04318612808382416,0.04471803702109334
39,0.05783122267802521,0.06106280193236702
40,0.03868832277017459,0.038930501745826795
41,0.017871711845562466,0.016877649610568868
42,0.04397604138397421,0.04458937198067625
43,0.037522634977484925,0.03542380324989025
44,0.04580600060479817,0.04847606499780405
45,0.03609157082075104,0.036908212560386566
46,0.035202987831682186,0.03483375959079277
47,0.02432880341183169,0.021848924022837057
48,0.02841535935283296,0.027936576266322233
49,0.029419219871658242,0.026376811594202965
50,0.03714342300492174,0.037922705314009764
51,0.04266386834184693,0.04082125603864739
52,0.0463904246681377,0.04657004830917871
53,0.02827133383278857,0.02868369445640223
54,0.04039725712911535,0.038260869565217404
55,0.033241994671907305,0.03392156862745094
56,0.06261622680206386,0.06575757575757585
57,0.026994505064855345,0.029337880079568
58,0.02460390106576621,0.024818960156885228
59,0.03115120709740704,0.030419773931804284
60,0.039137852998636924,0.03971014492753622
61,0.03536062740372775,0.03422442244224427
62,0.036618007545730746,0.03694074731341812
63,0.034359026081395294,0.034853593611357536
64,0.03990797161875287,0.03764705882352937
65,0.0395754996567636,0.040408953938872116
66,0.023344565922937155,0.022447007788622686
67,0.04153687318699478,0.041678157684911565
68,0.04349105055945257,0.04374176548089587
69,0.03460145084938637,0.03468599033816433
70,0.040165642819536274,0.040344382264313416
71,0.025522221114451016,0.026353829557712982
72,0.04201180252386244,0.04003969962213616
73,0.034203829822793186,0.03427034007748603
74,0.035653909742579815,0.03620230700976035
75,0.015988497441480176,0.013574879227053138
76,0.03968058622048676,0.04215634606938956
77,0.04409508323272804,0.044271099744245535
78,0.041799009522294706,0.04531066150093266
79,0.05144471148049229,0.052553351156137185
80,0.03217767426248552,0.0335350951974992
81,0.033507250583813986,0.03198067632850227
82,0.036174712188603575,0.03613526570048314
83,0.01871537982957172,0.018331137461572278
84,0.03680305050904176,0.035772229396852706
85,0.01841039032546704,0.018858146684233634
86,0.040408185809403974,0.041514634839442954
87,0.023578504514227383,0.023671497584541012
88,0.04313341765901524,0.04245515855933413
89,0.036604973882489567,0.037270780417351435
90,0.03875636552534961,0.0381609030468264
91,0.03846868137800136,0.039446640316205595
92,0.04267536370290659,0.04207290294246818
93,0.023034848503511007,0.022125603864734333
94,0.049542739337078756,0.04739130434782607
95,0.03673132990285677,0.034290733421168174
96,0.04941766864718694,0.047632850241545954
97,0.03181416440536483,0.030874494725426305
98,0.0497202790093253,0.048948564933219696
99,0.02862743149514546,0.026820377689942776
100,0.04282409823989919,0.04176673567977923
101,0.028068419848855664,0.027584541062801837
102,0.031762197419001215,0.0302415458937198
103,0.034921665686586445,0.03571100588319709
104,0.03527330942847556,0.034384768400113674
105,0.0454332995132401,0.0475406236275801
106,0.0320737488568702,0.03459558999378215
107,0.03664636450759151,0.03610452349582788
108,0.039792170643998925,0.04045751633986927
109,0.051784959130584285,0.05033146792940163
110,0.035769104661831364,0.03495862629741231
111,0.040406967316134745,0.04031543052003411
112,0.024761664026387076,0.025793157842847303
113,0.03227275154445636,0.03053140096618351
114,0.04844951736288744,0.04835748792270528
